Co.,URL
Jack Henry&Associates,https://www.investing.com/equities/jack-henry---asso
Mohawk Industries,https://www.investing.com/equities/mohawk-industries
SVB,https://www.investing.com/equities/svb-financial-gro
ANSYS,https://www.investing.com/equities/ansys
Parker-Hannifin,https://www.investing.com/equities/parkerhannifin
MarketAxesss,https://www.investing.com/equities/marketaxess-holdi
DaVita,https://www.investing.com/equities/davita-inc
Monolithic,https://www.investing.com/equities/monolithic-power
Globe Life,https://www.investing.com/equities/torchmark-corp
ResMed,https://www.investing.com/equities/resmed-inc
Avery Dennison,https://www.investing.com/equities/avery-dennison
FleetCor,https://www.investing.com/equities/fleetcor-tech
STERIS,https://www.investing.com/equities/steris-corp
IPG Photonics,https://www.investing.com/equities/ipg-photonics-corp.
Huntington Ingalls Industries,https://www.investing.com/equities/huntington-ingalls-industries-inc
Vulcan Materials,https://www.investing.com/equities/vulcan-matrls
Bio-Rad Labs,https://www.investing.com/equities/bio-rad-laboratories-inc
Waters,https://www.investing.com/equities/waters-corp
VeriSign,https://www.investing.com/equities/verisign-inc
Cintas,https://www.investing.com/equities/cintas-corp
Paycom Soft,https://www.investing.com/equities/paycom-soft
Snap-On,https://www.investing.com/equities/snapon-inc
IDEX,https://www.investing.com/equities/idex
Everest,https://www.investing.com/equities/everest-re-group-ltd
Assurant,https://www.investing.com/equities/assurant
WW Grainger,https://www.investing.com/equities/w-w-grainger-inc
West Pharmaceutical Services,https://www.investing.com/equities/west-pharmaceutical-services-inc
Martin Marietta Materials,https://www.investing.com/equities/martin-marietta-materials-inc
Federal Realty,https://www.investing.com/equities/federal-realty-investment-trust
Booking,https://www.investing.com/equities/priceline.com-inc
Equinix,"https://www.investing.com/equities/equinix,-inc."
Zebra,https://www.investing.com/equities/zebra-tech
FactSet Research,https://www.investing.com/equities/factset-research-systems-inc
Transdigm,https://www.investing.com/equities/transdigm-group-inc
Pool,https://www.investing.com/equities/pool-corp
Cooper,https://www.investing.com/equities/cooper-companies-inc
Teleflex,https://www.investing.com/equities/teleflex-inc
Teledyne Technologies,https://www.investing.com/equities/teledyne-technologies-inc
Essex Property,https://www.investing.com/equities/essex-property-trust-inc
Chipotle Mexican Grill,https://www.investing.com/equities/chipotle-mexican-grill-inc
ABIOMED,https://www.investing.com/equities/abiomed
AutoZone,https://www.investing.com/equities/autozone-inc
Mettler-Toledo,https://www.investing.com/equities/mettler-toledo-international-inc
Bio-Techne,https://www.investing.com/equities/techne-corp
Tyler Technologies,https://www.investing.com/equities/tyler-technologies-inc
NVR,https://www.investing.com/equities/nvr-inc
