,Net Income,"Property/Plant/Equipment, Total - Gross",Income Available to Common Excluding Extraordinary Items,Total Equity,Long Term Debt,Net Income/Starting Line,Total Revenue,Diluted Normalized EPS,Provision for Income Taxes,"Other Equity, Total",Total Long Term Debt,Cash Taxes Paid,"Common Stock, Total",Net Income After Taxes,avg Volume,"Other Investing Cash Flow Items, Total",Net Income Before Taxes,Total Liabilities & Shareholders' Equity,Cash From Operating Activities,Non-Cash Items,Net Change in Cash,Net Income Before Extraordinary Items,Total Operating Expenses,Capital Expenditures,Cash From Financing Activities,"Other Liabilities, Total","Issuance (Retirement) of Stock, Net",Total Liabilities,Operating Income,Total Assets,Diluted Net Income,Diluted Weighted Average Shares,Changes in Working Capital,Cash From Investing Activities,Total Common Shares Outstanding,Retained Earnings (Accumulated Deficit),Diluted EPS Excluding Extraordinary Items,Depreciation/Depletion,"Property/Plant/Equipment, Total - Net"
404,0.22923827955746845,0.010840829096597579,0.22638185633699776,0.0666139377654503,0.0672869294510178,0.2343992460230572,0.02042918639151142,0.0007386740489947677,0.21289276149522843,0.5864647785770579,0.06737202647935864,0.1412159190853122,0.0991981209974861,0.23147866143830664,0.008286946632908283,0.68068177680211,0.22773390890643638,0.013342344988652196,0.5206434015842176,0.7067494257367675,0.3671981733010956,0.22640110895054003,0.019818593291892825,0.9039113104135527,0.13346305595669708,0.038365895356597575,0.8503451123827502,0.010621575070053915,0.31710175182913014,0.013342344988652196,0.2319478824861359,0.009571050335394283,0.7723924621876187,0.6706496803358424,0.010107059535533765,0.06129166541496972,0.0007056013677193996,0.031363428894346755,0.01667623078670985
405,0.2273221833867722,0.009745795854517013,0.2274888816156793,0.0649822310826038,0.05646187830415805,0.23250478375522404,0.02265756477230659,0.0007529140320191035,0.21723058353136435,0.5862803293257541,0.05650088110881427,0.1619942832014072,0.09602363432849514,0.2326874024441314,0.006544353942888552,0.674122028996062,0.22957310817075668,0.012388561828133556,0.514117222139192,0.7068667220565954,0.3662233576396976,0.2275081342292216,0.021811453649859633,0.925336322869955,0.13681373896376056,0.037415090372185295,0.8773169724500031,0.009824554565205607,0.3186576203090073,0.012388561828133556,0.23003857003051065,0.009171027334071706,0.7683729177359899,0.6663268013296364,0.010025033664784454,0.06007072445358063,0.0007228502925698453,0.027451150861787905,0.014827595503194672
406,0.22685038081207817,0.006820492764958939,0.22721934502608732,0.061872670538268185,0.04299881927873177,0.2319907085669678,0.02541710557613239,0.0007539168477250426,0.21440156915997136,0.5869342857621946,0.04302363924533118,0.15957563764291996,0.07789419601078958,0.2323733201355313,0.00790414485081345,0.6795867514942804,0.22875230849907655,0.010621640111931122,0.514310267523539,0.7066223547236206,0.36615132692580116,0.22723859763962956,0.024844704341765,0.9324115595416044,0.1332565468477548,0.03210795293515327,0.85032151495487,0.008360935092665984,0.31754487892782934,0.010621640111931122,0.22956843781781897,0.008971015833410421,0.7714659005312731,0.672530210733849,0.00948450420882104,0.05905148551393245,0.0007224491547826256,0.024430002825534133,0.009589795533234996
407,0.21463165698989958,0.016490027375831055,0.214782156677769,0.05046589234636387,0.013647435920164803,0.21995754119741437,0.03170699864616178,0.00047192507121495753,0.24182414846667424,0.583698039807502,0.015406107839209163,0.20487027264731747,5.504890177440952e-05,0.22010507480869534,0.022293650624161658,0.6953878886559539,0.2244811102075559,0.006411166122652743,0.49800104618143776,0.7029861688089536,0.3644754123158115,0.214782156677769,0.032501097996453655,0.9806676631788739,0.12434175221524647,0.01545515217450928,0.8503333136688102,0.005467187110214707,0.3110161396736615,0.006411166122652743,0.21741216203250627,0.01262822612300207,0.7626002386396209,0.6933695047156315,0.013305016881029362,0.034497483016260606,0.0005842571870854493,0.043208937381816595,0.01660690696357803
408,0.1643702398490232,0.017193977317168558,0.16427292504957547,0.05005850741093873,0.028613875779612878,0.17033976561979378,0.035012009278352366,0.0005455317440308902,0.21757006525593153,0.5784999245434882,0.03074839290716268,0.17458223394898856,5.504890177440952e-05,0.17024212890699358,0.02626840852662443,0.677929907976258,0.17977792808882875,0.007583598458754961,0.5122552682708115,0.779385171790235,0.36805533879646285,0.1642729250495755,0.04688156368615717,0.9784255107125063,0.1332609097162536,0.014412923633903509,0.8417674473482389,0.006805537501386252,0.25190298470719147,0.007583598458754961,0.16732868957841612,0.012849738859984446,0.7583740509408934,0.6756774331150218,0.013249281353468931,0.03482793100932549,0.00017750347084470418,0.042600360798974106,0.019160334448933374
409,0.2281695022964268,0.013955807587016037,0.2275947709901619,0.06439715697321662,0.017108048406026286,0.2333615757356511,0.03711519786247365,0.0007571258579840476,0.22402021802270755,0.5845196773814914,0.01939503104268679,0.17183377308707123,5.504890177440952e-05,0.23279209654699817,0.0149384647405832,0.6838914234288598,0.23102470759011695,0.008637842051298488,0.5087244059183978,0.7080885587214701,0.3665907142805693,0.22759477099016193,0.03650696711674172,0.9762830094668659,0.1298869580771966,0.007962991744452873,0.8350185829744557,0.005823672645110496,0.3192583037094662,0.008637842051298488,0.2309020781762708,0.01399280458626371,0.7576474666204497,0.6814152616876394,0.014032733580497614,0.04696223880661067,0.0006803296871245603,0.0439696581103697,0.012243357429780744
410,0.22351541061266936,0.02124626515447791,0.2237951714445236,0.04268780878911329,0.028072304108413614,0.23081671315556485,0.02065738950659125,0.0007661511993375001,0.22333861416015996,0.5876527994365914,0.028072304108413614,0.16951682058047493,2.018459731728428e-06,0.23109157878707123,0.007433672896391325,0.6808434816082567,0.2295294841882063,0.004919186880590893,0.5099451377472226,0.7095864327256731,0.3644851844826634,0.2237951714445236,0.01994862376690391,0.9831953163926258,0.1296196887529613,0.013204898474140844,0.8331022358562916,0.004997009418051566,0.31765920571929374,0.004919186880590893,0.2262644637614415,0.006051847981258923,0.7680384889712499,0.679088996166111,0.00569869478962205,0.047765914074938735,0.000724454843718724,0.013702319111478185,0.024590353975143555
411,0.22387494343183414,0.020087993742667194,0.2230463410407963,0.04431266793793881,0.028286004020834588,0.23107003798444445,0.020367449937494526,0.0007328577179003207,0.2220448115876429,0.58796552475812,0.028286004020834584,0.16968887423043097,2.385452410227993e-06,0.23024907678836565,0.012951688597299291,0.6910205063646719,0.22859605256157892,0.005014585879672878,0.5131655083943606,0.7146096476223058,0.3680872724129569,0.2230463410407963,0.019643778409021175,0.9809030891878426,0.1254754435946546,0.013186065221564987,0.8223298920417675,0.004859516135324278,0.31770154897539166,0.005014585879672878,0.22662272369658243,0.007611437657665317,0.7693118779871615,0.6890267019710455,0.00653525350989227,0.04900874185145289,0.0006883524428689539,0.013370210176269857,0.024276548135766855
412,0.21760102833704034,0.013527121626906535,0.22218892589669045,0.04771483054520239,0.02897855200314859,0.22451795931190083,0.02039672646565955,0.000693146215945131,0.22124401191958057,0.5881764676291564,0.028978552003148587,0.16609113896218117,3.1194377672182707e-06,0.2290524231925991,0.00991598581227596,0.6811876732923067,0.22747915700833718,0.005546098387767847,0.5071541996712,0.7097523092712966,0.3659340342722137,0.22218892589669045,0.019827806607702177,0.9754075734927753,0.13139600157644982,0.0020600927034859808,0.8367774172615184,0.004933202693675547,0.3168734921369558,0.005546098387767847,0.22037102066662828,0.008538990991982038,0.76939213555797,0.6786201120515208,0.00866740034251059,0.0518228069196668,0.0006680949846143604,0.01284596491990697,0.013070121047097833
413,0.2511722849687551,0.014442706296441146,0.25004331838047017,0.12586027563491375,0.07514422173449019,0.25605704330607465,0.039853277558298206,0.0007117985880755989,0.24352155708951,0.5825913442996797,0.07514422173449017,0.22147097625329815,0.00016514670532322855,0.25623405794342713,0.017946870603479215,0.6280503347500169,0.25367269853092056,0.022402989541720368,0.5362800777163353,0.7092419725331117,0.3328635330104757,0.25135249610134575,0.03401405999616008,0.980293971101146,0.13376845675161173,0.035604903959554214,0.8922069494425108,0.011691997760201706,0.3477366052525332,0.022402989541720368,0.2525281599600867,0.03585756180980406,0.7693128112147289,0.6259929356562088,0.037303367950704554,0.10421342648819615,0.0006943695096772488,0.013845117259666584,0.016190964024787115
