,Net Income,Income Available to Common Excluding Extraordinary Items,Total Equity,Diluted Normalized EPS,Net Income After Taxes,avg Volume,Net Income Before Taxes,Total Liabilities & Shareholders' Equity,Cash From Operating Activities,Net Change in Cash,Low,Net Income Before Extraordinary Items,Cash From Financing Activities,Total Liabilities,High,Total Assets,Diluted Net Income,Diluted Weighted Average Shares,Changes in Working Capital,Cash From Investing Activities,Total Common Shares Outstanding,Diluted EPS Excluding Extraordinary Items
695,0.24848589888019104,0.24866675651219652,0.06943746207852995,0.00113258005828766,0.25287432900597706,0.006365130739250596,0.2544706982117207,0.010231912730046337,0.532736760822996,0.36766877396521874,0.08688303246322465,0.24866675651219652,0.12946230554331528,0.0068119780711224,0.10422869967043356,0.010231912730046337,0.25114654692687044,0.006571377854226618,0.7777585207009872,0.6732636956193786,0.0066940471827531154,0.0011039311904285315
696,0.24213100705778137,0.24231339404324137,0.06577316460084943,0.0010278860985876142,0.24716374157688353,0.0074069112483894205,0.24577630168947934,0.008490106121850124,0.5305260798086983,0.3702906919510479,0.09415204092034002,0.24231339404324137,0.1289678471134535,0.0054581703125841,0.08174661377110595,0.008490106121850124,0.2448141538579625,0.006657382799510972,0.7800049327742856,0.6779117009046314,0.006864934413480847,0.0009992342279641978
697,0.23227129610907304,0.23283148187366434,0.06170798301118142,0.0009689205350783931,0.23781741348460045,0.005043387261656897,0.23518950592419763,0.007408383646429203,0.5111530413988941,0.36210320080482317,0.10349313454683998,0.23283148187366434,0.1311638242578397,0.004883349463632895,0.07798266462859718,0.007408383646429203,0.23498935006620228,0.006840893351367704,0.7608271062612904,0.6732064733942663,0.007046863588347909,0.0008457990243526739
698,0.22393290774815372,0.22315704356866445,0.06784476033630926,0.0006516296457192506,0.22930863821525108,0.07199865628539126,0.2268979092408363,0.0362538238712223,0.5058598615055049,0.37920809433142294,0.0027338155944461435,0.22411967424577886,0.15083454402934174,0.03540939581356656,0.0026550861909011387,0.0362538238712223,0.22572102930170976,0.051557464554211875,0.7697660931761067,0.6587656645841244,0.05340357411957585,0.0006101305743611179
699,0.2296523103883224,0.22912535376677384,0.06524876484354684,0.0006504262668721235,0.23496211977005368,0.06514679485123359,0.23211910715235715,0.032106580859747824,0.5074229063916704,0.3625762024927429,0.004956294042253827,0.2298377004678385,0.130561748405008,0.03127519409993318,0.002825170747223425,0.032106580859747824,0.23166964097250206,0.052727531833080404,0.7665397921568888,0.6763536957754391,0.05355080004143359,0.0006217635701904883
700,0.22947899515680215,0.2289617065516644,0.06374707462945306,0.000648821761742621,0.2347622492100354,0.06768944537899829,0.2318835072465971,0.032041281578931644,0.5083694515020176,0.36894851964877823,0.004530179753388443,0.22963554802564448,0.13679774177926504,0.03142719154570627,0.0030394331103826685,0.032041281578931644,0.23153531748316158,0.05522267530382998,0.7667264376703974,0.6717082915004188,0.054958385015766324,0.0006201590190416097
701,0.2227678442473786,0.2229548911264704,0.04380904914622519,0.0009709261664902713,0.22815700308371722,0.0023572826311525196,0.2256667097333161,0.002309721249307259,0.5044275892990584,0.36723178763424724,0.056883751008888234,0.2229548911264704,0.13245523333347875,0.001986381196313544,0.06115754689474196,0.002309721249307259,0.22551954406769903,0.0019506121601992115,0.7692728157475486,0.6792616252152336,0.0020480177344139017,0.0009400664043492964
702,0.22135243652329645,0.22153982403111222,0.04313079656756522,0.0009021330090628468,0.2267579091635893,0.001796218321322794,0.22470151011939596,0.001977019936189543,0.5032008170178848,0.36578637130872604,0.07887041279612853,0.22153982403111222,0.13167427987219704,0.0017245720365391297,0.05698274414864949,0.001977019936189543,0.2241091474296241,0.001990614460331469,0.7685129018711213,0.679604958565907,0.0020637919403272307,0.0008622456736286804
703,0.22411585160364733,0.2243025740744306,0.042974776805061975,0.0010078297844688315,0.22948947348383902,0.0028703610116363153,0.2268903092438763,0.0017855541716244629,0.5033129078862153,0.3650756682649482,0.07249123123634972,0.2243025740744306,0.13099803525488604,0.0015390836281380688,0.06049046201150391,0.0017855541716244629,0.22686277896110377,0.0021106213607282416,0.7675930061259724,0.6799977111109955,0.002121630695342771,0.0009791773386032142
704,0.26989032997294354,0.25516451358271885,0.0843243477507151,0.0007669534519022512,0.26000304564662885,0.035756260821756154,0.23905790437683824,0.04598459860026825,0.6109388232949734,0.3790544288084439,0.03771696319208062,0.25516451358271885,0.11816829328947197,0.043565733327424326,0.03443880931975013,0.04598459860026825,0.27247519812714677,0.044751073186708235,0.823713312491251,0.6733599329979764,0.04685464963122536,0.0006867478917200749
